Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
Promotions/EFT question or issue,1,"It didn't help at all, ignored my problem and tried to sell me something again. I know how to subscribe to YouTube, relax lol",1016,Advertising & Promotions,Promotions & Trials,Miscommunication,Complaint,Negative,Frustration,People,Agent ignored the specific promotional issue to focus on unnecessary sales scripts.,Support Interaction,Medium,Medium,Inconvenience,0.9,Sales & Product
Free trial question or issue,1,"I disagree with the solution, because I logged in using my account, and within my account, when I upgraded, I was offered a free month. Unfortunately, I feel cheated after being a customer for so long.",1018,Advertising & Promotions,Promotions & Trials,Other,Complaint,Negative,Disappointment,Policy,Discrepancy between the promotional offer presented in the UI and the actual application of the trial.,Service Delivery,Medium,Medium,Trust Loss,0.9,Sales & Product
I want to ask about family plan abuse,1,He did not answer the question.,1019,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to provide a direct answer to the customer's specific question.,Support Interaction,Medium,Medium,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,"your help was not needed, the episode is still not working",1021,Technical & Playback Issues,Bugs & Technical Errors,System Failure,Complaint,Negative,Frustration,Technical,Technical bug preventing content playback remains unresolved after support contact,Resolution,High,Medium,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"The service was good, but the solution is neither satisfactory nor fair. Absurd.",1022,Customer Support Experience,App Features & Navigation,Other,Complaint,Negative,Disappointment,Policy,Company policy or resolution terms perceived as unfair by the customer,Resolution,Medium,Medium,Trust Loss,0.85,Support & QA
I want to ask about family plan abuse,1,That piece of crap didn't help solve my problem.,1023,Subscriptions & Memberships,Policy & Enforcement,System Failure,Complaint,Negative,Anger,People,Support interaction failed to address the specific problem or provide a solution,Support Interaction,High,High,Inconvenience,0.88,Sales & Product
Non-SUJ identified issues,4,"I can't say that anything can get better as I haven't figured out what my problem is yet as I can't find information from others who have had the same thing happen yet but I will probably hear from you if it turns out what the problem was and if it turns out that you could have been more on the ball to help me troubleshoot,",1025,Customer Support Experience,Support Processes & Friction,UX Issue,Feedback,Neutral,Confusion,Technical,Lack of searchable documentation or community resources for specific technical issues,Discovery,Low,High,Inconvenience,0.85,Support & QA
I have a question or complaint about pricing,1,"My husband and I have permanent residency in Brazil. However, he is Portuguese and Venezuelan, so we spend long periods of time away from home. In my case, I only have a bank account in Brazil; that is, I don't have any financial instruments like credit cards outside of Brazil. I work remotely, but my entire life is based in Brazil. Currently, we are in Caracas, and the family YouTube Premium service has simply STOPPED working. We use ONE services for related bills.",1027,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Policy,Strict regional licensing or billing policies affecting users traveling abroad,Service Usage,High,Medium,Trust Loss,0.9,Sales & Product
Playback Issues,2,"Unfortunately, the app let me down today.",1028,Technical & Playback Issues,Playback & Streaming,Bug,Complaint,Negative,Disappointment,Technical,Unspecified application failure or crash during playback,Service Usage,Medium,Low,Inconvenience,0.8,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),4,"That's fine. But I think I'm being treated like a pirate; I'm going to be charged €61 even though I haven't bought anything, not YouTube Premium or anything.",1032,"Billing, Payments & Sales",Billing & Payment Issues,System Failure,Complaint,Negative,Disappointment,Technical,System error or lack of transparency regarding a pending charge for a service the user claims not to have purchased,Billing,High,Medium,Financial Impact,0.88,Sales & Product
I want to join or start a family plan,4,"Improve access to human support. I couldn't find where to contact you, so I resorted to the AI ​​requesting a contact link. Only after that was my issue resolved. It's absurd not being able to change families, especially since the group is limited to 5 people; please review this policy.",1034,Customer Support Experience,Support Processes & Friction,UX Issue,Suggestion,Negative,Frustration,Policy,Obscured contact paths for human support and restrictive family plan group size policies,Discovery,Medium,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,2,My YouTube still hasn't gone back to normal.,1035,Product Features & Content,App Features & Navigation,UX Issue,Complaint,Negative,Frustration,Technical,Persistent UI/UX state failing to revert to user preference or standard layout,Resolution,Medium,Medium,Inconvenience,0.85,Policy & Brand
Question or issue with end of year recap,1,You failed to achieve what I wanted.,1037,Product Features & Content,Bugs & Technical Errors,Other,Complaint,Negative,Disappointment,Process,Failure to resolve the customer's specific request during the support journey,Resolution,Medium,Medium,Inconvenience,0.8,Policy & Brand
Question or issue with end of year recap,1,"It didn't solve the problem. I mentioned that my recaps haven't been generated since September, and he only said they would be released gradually.",1038,Product Features & Content,General Feedback,Delay,Complaint,Negative,Frustration,Technical,Technical delay in recap generation compounded by generic support responses regarding rollout timelines,Support Interaction,Medium,Medium,Inconvenience,0.9,Policy & Brand
Non-SUJ identified issues,1,We haven't decided yet,1039,General Feedback & Brand,General Feedback,Other,Feedback,Neutral,Other,Unknown,Ambiguous customer feedback providing no actionable context,Unknown,Low,Unknown,Unknown,0.5,Policy & Brand
Device limit reset request,5,A little unclear if they are resolved and something about exceptions that didn't seem correct,1042,Account Management & Security,Content Availability,Miscommunication,Feedback,Neutral,Confusion,Process,Ambiguous communication regarding resolution status and policy exceptions,Resolution,Low,Medium,Inconvenience,0.85,Policy & Brand
User wants to cancel and receive a refund (including due to free trial converting to paid),1,"That's terrible, you didn't even solve my problem.",1046,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Support agent failed to provide a resolution for the user's problem,Support Interaction,Medium,Medium,Trust Loss,0.9,Support & QA
Student plan question or issue,1,very helpful attendant,1049,Customer Support Experience,Support Experience Feedback,Other,Feedback,Positive,Satisfaction,People,Effective and helpful support interaction,Support Interaction,Low,Low,Other,0.9,Support & QA
Non-SUJ identified issues,4,"Although the attendant was attentive, there was no solution to my satisfaction.",1051,Customer Support Experience,Support Experience Feedback,Other,Feedback,Negative,Disappointment,People,Support agent was attentive but lacked the tools or authority to provide a satisfactory resolution,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Question about package/plan and how to purchase,1,It solves nothing.,1056,Subscriptions & Memberships,Plan Management (Individual),System Failure,Complaint,Negative,Disappointment,Process,Support interaction failed to provide a resolution,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,3,"It didn't solve my problem, my YouTube Premium isn't working.",1057,Subscriptions & Memberships,Premium Benefits & Access,Bug,Complaint,Negative,Frustration,Technical,Premium features failing to activate or function,Resolution,High,High,Financial Impact,0.9,Sales & Product
Question or issue with core / main features,1,It didn't solve the problem.,1059,Product Features & Content,Bugs & Technical Errors,System Failure,Complaint,Negative,Disappointment,Process,Ineffective troubleshooting steps provided by support,Resolution,Medium,Medium,Inconvenience,0.8,Policy & Brand
Non-SUJ identified issues,1,They didn't solve the real problem.,1062,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,Process,Failure to identify or resolve the core customer issue,Resolution,High,High,Inconvenience,0.88,Support & QA
Non-SUJ identified issues,1,Encountering an overly strict support team regarding the deletion and closure of a YouTube channel due to accusations reported by toxic individuals.,1063,Account Management & Security,Policy & Enforcement,Other,Complaint,Negative,Anger,Policy,Strict policy enforcement regarding account closure without context validation,Policy Enforcement,Critical,High,Financial Impact,0.9,Policy & Brand
Non-SUJ identified issues,4,The problem hasn't been resolved yet; I'll be able to give my opinion as soon as it is.,1065,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Neutral,Other,Process,Unresolved support ticket,Resolution,Medium,Medium,Delay,0.9,Support & QA
I want to ask about family plan abuse,5,"Great, I received excellent service and I hope the situation gets resolved.",1067,Account Management & Security,Plan Management (Family/Student),Other,Feedback,Positive,Satisfaction,People,Effective agent communication,None,Low,Low,Other,0.9,Policy & Brand
I want to ask about family plan abuse,1,The worst service I've ever experienced in my entire life.,1071,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,People,General failure in service delivery and customer interaction quality,Support,Medium,Unknown,Trust Loss,0.85,Support & QA
Non-SUJ identified issues,3,"It took a while to get a clue, the service I was interested in (YouTube Music and the ability to create playlists with Gemini) is evidently too new.",1073,Product Features & Content,General Feedback,Miscommunication,Feedback,Neutral,Confusion,Technical,Steep learning curve or lack of documentation for newly released AI features,Discovery,Low,Medium,Delay,0.88,Policy & Brand
I want to cancel subscription,3,"Unfortunately, I can no longer properly watch and comment on the content I love on YouTube [excluding Rap, R&N, Hip-hop, Jazz, Blues, Arabesque, Metal, and Heavy Metal; but rather Electronic, Turkish and International Pop, Action Movies, News, and Horror films].",1074,Account Management & Security,Policy & Enforcement,Other,Complaint,Negative,Disappointment,Policy,Systemic or policy-based restriction preventing user from watching or commenting on specific content,Usage,High,Unknown,Inconvenience,0.82,Policy & Brand
Question about package/plan and how to purchase,1,I still haven't received a solution.,1078,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Failure to provide a timely solution to a purchase-related inquiry,Resolution,Medium,Medium,Delay,0.9,Support & QA
Device limit reset request,5,No one spoke to me on the phone; I would have preferred to resolve the issue via email.,1080,Account Management & Security,Content Availability,Miscommunication,Feedback,Neutral,Other,Process,Channel mismatch and lack of preferred communication method,Contact,Low,Low,Inconvenience,0.9,Policy & Brand
I want to ask about family plan abuse,4,We still haven't been able to solve the problem.,1083,Subscriptions & Memberships,Plan Management (Family/Student),Delay,Complaint,Negative,Frustration,Process,Failure to reach a resolution in the support journey,Resolution,Medium,High,Delay,0.85,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),2,The staff's service was excellent.,1087,Customer Support Experience,Support Experience Feedback,Other,Feedback,Positive,Satisfaction,People,Excellent service delivery despite low DSAT score,Unknown,Low,Low,Other,0.85,Support & QA
Student plan question or issue,1,It didn't help.,1088,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Process,Ineffective support solution provided,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Device limit reset request,4,It all seems improvised to me,1091,Account Management & Security,Content Availability,UX Issue,Feedback,Negative,Confusion,Process,Perceived lack of standardized support procedures,Support Interaction,Medium,Medium,Inconvenience,0.85,Policy & Brand
Question about package/plan and how to purchase,1,terrible,1092,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Anger,Unknown,General service failure or poor interaction quality,Support Interaction,High,Unknown,Trust Loss,0.7,Sales & Product
Form of payment question or issue,2,"The exchanges I had with support were invaluable, as they outlined the analysis process and the points clarified. Simply referring them to the Comments function doesn't convey this important information. A bug often requires several steps to understand; a simple report through the application cannot accurately reflect the entire discussion.",1093,Technical & Playback Issues,Bugs & Technical Errors,UX Issue,Suggestion,Neutral,Frustration,Product,Inadequate feedback tools for complex technical issues,Feedback Loop,Medium,High,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,1,I've written many times. But I haven't received a response or progress.,1096,"Policy, Trust & Safety",Trust & Safety,Delay,Complaint,Negative,Frustration,Process,Lack of responsiveness and failure to provide progress updates on reported issues,Response,High,High,Delay,0.9,Policy & Brand
I want to know the status of my transaction,1,It didn't help at all.,1099,"Billing, Payments & Sales",Billing & Payment Issues,Other,Complaint,Negative,Disappointment,Process,Support interaction failed to provide any helpful information or resolution,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
I want to know the status of my transaction,4,I am still waiting for a response to resolve my problem.,1101,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Lack of timely resolution or response from the support team regarding a transaction query,Support Interaction,Medium,Medium,Delay,0.9,Support & QA
Non-SUJ identified issues,1,Until today they haven't given me any support.,1106,Customer Support Experience,Support Experience Feedback,Delay,Complaint,Negative,Frustration,Process,Lack of support responsiveness or follow-up,Support Interaction,High,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,You must refund my money,1108,"Billing, Payments & Sales",Refunds & Adjustments,Other,Complaint,Negative,Anger,Policy,Unresolved service issue leading to refund demand,Resolution,High,Medium,Financial Impact,0.85,Sales & Product
Upgrade or downgrade package,1,"The support staff were very nice, but they couldn't help me with my problem.",1110,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Process,Support staff unable to resolve the issue despite positive interaction,Resolution,Medium,Medium,Inconvenience,0.9,Sales & Product
User sees Ads,4,"The support team was attentive and explained the situation to me, but they didn't help me find a solution.",1111,Advertising & Promotions,Ad Experience,Other,Feedback,Neutral,Satisfaction,Process,Explanation provided without a functional resolution to the technical issue,Resolution,Low,Medium,Inconvenience,0.85,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Terrible service,1112,Cancellations & Refunds,Refunds & Adjustments,Other,Complaint,Negative,Anger,People,General service quality failure during cancellation process,Interaction,High,Unknown,Trust Loss,0.7,Support & QA
Non-SUJ identified issues,1,I've already done all the steps and written down the solutions I need for support.,1116,Customer Support Experience,Support Experience Feedback,UX Issue,Complaint,Negative,Frustration,Process,Customer forced to repeat troubleshooting steps already completed,Support Intake,Medium,High,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,I had a problem that wasn't solved.,1117,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Disappointment,People,Support failed to provide a resolution for the reported problem,Support Resolution,Medium,Medium,Trust Loss,0.85,Sales & Product
Question or issue with seasonal recap,4,"We have no control over the recap; it's generated automatically, and we can't interfere with that. Seriously? So if the system stops working, we won't be able to interfere with that either? Seriously?",1119,Product Features & Content,App Features & Navigation,UX Issue,Feedback,Negative,Confusion,Policy,Lack of manual control or support intervention for automated system features,Product Design,Medium,Low,Inconvenience,0.88,Policy & Brand
I want to ask about family plan abuse,1,I'm paying for the premium service and I've been trying to resolve this for two weeks and nothing has happened.,1121,Subscriptions & Memberships,Plan Management (Family/Student),Delay,Complaint,Negative,Frustration,Process,Extended resolution time for premium service issues,Resolution,High,High,Delay,0.9,Sales & Product
Question or issue with core / main features,1,Customer support was powerless and unable to help me in the slightest. The contact was a complete waste of time for both of us.,1123,Customer Support Experience,Support Experience Feedback,System Failure,Complaint,Negative,Frustration,People,Lack of agent empowerment or technical capability to resolve issues,Support Interaction,Medium,High,Trust Loss,0.9,Support & QA
I want to ask about family plan abuse,1,"I explained the situation to you, but you didn't offer any solution.",1125,Subscriptions & Memberships,Plan Management (Family/Student),Miscommunication,Complaint,Negative,Frustration,People,Support agent failed to provide a resolution or actionable next steps after customer explanation,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Promotions/EFT question or issue,3,I can't get a refund for YouTube Music over the last few months.,1128,"Billing, Payments & Sales",Refunds & Adjustments,Other,Complaint,Negative,Frustration,Policy,Inability to secure a refund for unused or disputed service periods,Resolution,Medium,Medium,Financial Impact,0.85,Sales & Product
Non-SUJ identified issues,1,I'm experiencing the same problem again.,1129,Technical & Playback Issues,Bugs & Technical Errors,Bug,Complaint,Negative,Frustration,Technical,Failure to provide a permanent fix for a previously reported technical problem,Resolution,Medium,High,Inconvenience,0.8,Sales & Product
Playback Issues,1,I didn't feel that my request was truly understood.,1130,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Agent failed to demonstrate active listening or understanding of the customer's specific issue,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,3,"The service was great, it's the platform that isn't helping much.",1134,Product Features & Content,General Feedback,UX Issue,Feedback,Neutral,Satisfaction,Product,Platform interface or functionality limitations despite positive human support,Product Usage,Medium,Medium,Inconvenience,0.85,Policy & Brand
Non-SUJ identified issues,1,"formalism, lack of desire to help",1141,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Perceived lack of empathy and overly formal support interaction,Support Interaction,Medium,High,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,1,They just redirected me to another form; nobody checked my problem.,1146,Customer Support Experience,Support Processes & Friction,UX Issue,Complaint,Negative,Frustration,Process,Excessive redirection and lack of issue ownership,Initial Contact,Medium,High,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,2,It didn't solve the problem.,1148,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Frustration,Unknown,Unresolved issue following support interaction,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,1,no solutions,1150,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Support failed to provide a viable solution to the user's problem,Resolution,Medium,High,Inconvenience,0.85,Support & QA
Non-SUJ identified issues,1,"My account was banned without even having the option to remove the videos, which I didn't even know I wasn't supposed to post. That's messed up.",1152,Account Management & Security,Policy & Enforcement,Policy Issue,Complaint,Negative,Anger,Policy,Immediate account banning without prior warning or opportunity for content remediation,Enforcement,Critical,High,Trust Loss,0.9,Policy & Brand
Non-SUJ identified issues,4,"Uzi's album ""Kan"" is missing tracks, and this is just one. There are many more like this, and I would appreciate it if these kinds of missing tracks were added to the app more quickly.",1154,Product Features & Content,Content Availability,Delay,Suggestion,Neutral,Disappointment,Product,Slow ingestion or licensing updates for specific music tracks and albums,Content Delivery,Medium,Low,Inconvenience,0.9,Policy & Brand
I want to ask about family plan abuse,3,"Tatyana, I've stopped responding to emails, even though the issue hasn't been resolved. Please look into why my wife doesn't have a PREMIUM subscription in the family group, even though all the requirements are met.",1158,Subscriptions & Memberships,Plan Management (Family/Student),Miscommunication,Complaint,Negative,Frustration,People,Ineffective support follow-up and failure to resolve secondary account access,Support Interaction,Medium,High,Trust Loss,0.9,Sales & Product
Non-SUJ identified issues,1,I disagree with YouTube.,1160,General Feedback & Brand,General Feedback,Other,Complaint,Negative,Disappointment,Policy,General dissatisfaction with platform stance or policies,Unknown,Low,Low,Other,0.7,Policy & Brand
Issue with subtitles or closed captions,4,"No response to my complaint. My videos are constantly being blocked because of some music provider. Google Ads is a lie; they offer no synergies with the Google Play Store app. Instead of €40, they wanted €600 for a single Michael Jackson video review. Something's wrong. There's no solution; I'm left high and dry. Best regards, Anfisia",1163,Product Features & Content,General Feedback,System Failure,Complaint,Negative,Frustration,Policy,Aggressive copyright blocking and perceived lack of synergy/transparency in ad pricing,Resolution,High,High,Financial Impact,0.85,Policy & Brand
I want to ask about family plan abuse,1,The problem is not solved.,1167,Customer Support Experience,Support Processes & Friction,Other,Complaint,Negative,Frustration,Process,Support interaction ended without resolving the underlying issue,Support Interaction,Medium,High,Inconvenience,0.85,Support & QA
I want to ask about family plan abuse,1,I still havent gotten my premuim back!!!,1168,Subscriptions & Memberships,Plan Management (Family/Student),System Failure,Complaint,Negative,Anger,Technical,Failure to restore premium status after a plan change or support intervention,Fulfillment,High,High,Financial Impact,0.9,Sales & Product
Non-SUJ identified issues,1,I was not attended to.,1171,Customer Support Experience,App Features & Navigation,System Failure,Complaint,Negative,Frustration,People,Lack of agent response or support abandonment,Engagement,High,High,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,1,My problem has not been resolved.,1172,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Unknown,Unsuccessful resolution attempt,Resolution,Medium,High,Inconvenience,0.85,Support & QA
Question or issue with core / main features,4,My problem has not yet been resolved.,1173,Product Features & Content,General Feedback,Other,Complaint,Negative,Frustration,Technical,Persistent technical issue with core functionality,Resolution,Medium,High,Inconvenience,0.85,Policy & Brand
Student plan question or issue,1,It didn't solve my problem at all.,1175,Subscriptions & Memberships,Plan Management (Family/Student),Other,Complaint,Negative,Frustration,Process,Unresolved inquiry,Resolution,High,High,Inconvenience,0.9,Sales & Product
Playback Issues,1,I didn't like the result.,1176,Technical & Playback Issues,Playback & Streaming,Other,Complaint,Negative,Disappointment,Technical,Dissatisfaction with outcome,Resolution,High,Medium,Inconvenience,0.85,Sales & Product
Playback Issues,5,Not to solve the problem,1177,Technical & Playback Issues,Playback & Streaming,Other,Feedback,Neutral,Confusion,Unknown,Vague feedback,Unknown,Low,Unknown,Unknown,0.7,Sales & Product
Non-SUJ identified issues,4,"It wasn't good, I expected my problem to be solved.",1179,Customer Support Experience,Support Processes & Friction,Other,Complaint,Negative,Disappointment,Process,Unmet resolution expectations,Resolution,Medium,Medium,Inconvenience,0.88,Support & QA
I want to ask about family plan abuse,1,He neither solved my problem nor was he willing to help.,1181,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Perceived lack of willingness to assist and failure to resolve the inquiry,Engagement,Medium,High,Trust Loss,0.9,Support & QA
I want to ask about family plan abuse,1,The service was great.,1187,Customer Support Experience,Support Processes & Friction,Other,Feedback,Positive,Satisfaction,People,High quality service delivery,Support Interaction,Low,Low,Other,0.9,Support & QA
Device limit reset request,5,"So far it's been good, I hope you solve my problem.",1189,Account Management & Security,Content Availability,Other,Feedback,Positive,Satisfaction,Product,Positive initial interaction during resolution process,Support Interaction,Low,Low,Other,0.85,Policy & Brand
Non-SUJ identified issues,1,"The problem persist, I tried again, and Google send me a 5 digit code again.",1198,Account Management & Security,Account Access & Recovery,Bug,Complaint,Negative,Frustration,Technical,Persistent authentication failure or repetitive verification code requests,Authentication,Medium,High,Inconvenience,0.9,Policy & Brand
I want to join or start a family plan,2,I had to work my way around to find a solution with the representative.,1203,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Feedback,Neutral,Frustration,People,Non-intuitive resolution process requiring customer-led workarounds,Support Interaction,Medium,High,Inconvenience,0.85,Sales & Product
I want to ask about family plan abuse,1,My account issue is still unresolved.,1204,Account Management & Security,Account Settings & Management,System Failure,Complaint,Negative,Disappointment,Process,Failure to provide a final resolution for an ongoing account issue,Support Resolution,High,High,Trust Loss,0.9,Policy & Brand
Question about package/plan and how to purchase,1,I want youtube premium..I can't subscribe some error,1206,Subscriptions & Memberships,Plan Management (Individual),System Failure,Complaint,Negative,Frustration,Technical,Unknown technical error preventing subscription completion,Purchase/Onboarding,High,Medium,Inconvenience,0.9,Sales & Product
I have a question or complaint about pricing,1,"My problem hasn't been resolved. I accidentally canceled my premium subscription, resulting in a price change.",1208,Subscriptions & Memberships,Plan Management (Individual),UX Issue,Complaint,Negative,Disappointment,Product,Accidental cancellation leading to loss of legacy pricing or promotional rates,Post-Purchase,Medium,Medium,Financial Impact,0.88,Sales & Product
Question about package/plan and how to purchase,1,They won't let me buy premium,1212,Subscriptions & Memberships,Plan Management (Individual),System Failure,Complaint,Negative,Frustration,Technical,Unknown,Purchase/Onboarding,High,Medium,Financial Impact,0.85,Sales & Product
Question about package/plan and how to purchase,1,If customer is using Google Product or Services and if related issues couldn't be resolved then it take away the overall Confidence in the Brand.,1213,General Feedback & Brand,General Feedback,Miscommunication,Feedback,Negative,Disappointment,Process,Inability of support to resolve cross-product issues leading to brand erosion,Support Resolution,Medium,Unknown,Trust Loss,0.9,Policy & Brand
Non-SUJ identified issues,1,He didn’t clear my issue itself,1215,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Agent failed to resolve the customer's core issue during the interaction,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
Question about package/plan and how to purchase,1,"The agents' attention is excellent, but the responses are totally unsatisfactory and ridiculous, the YouTube premium service is not cheap at all, and additionally they have inappropriate requirements.",1218,Subscriptions & Memberships,Plan Management (Individual),Other,Feedback,Negative,Frustration,Policy,Dissatisfaction with service pricing and perceived inappropriate documentation or eligibility requirements,Product/Service Offering,Medium,Low,Inconvenience,0.85,Sales & Product
I want to ask about family plan abuse,1,The answer was not relevant the manager of the family account it’s at the same location,1221,Account Management & Security,Account Access & Recovery,Miscommunication,Complaint,Negative,Frustration,Process,Support provided irrelevant information regarding address verification,Support Interaction,Medium,Medium,Inconvenience,0.9,Policy & Brand
Question or issue with gifted memberships,5,<<GSP_REDACTED>>,1223,Subscriptions & Memberships,Plan Management (Individual),Other,Feedback,Positive,Satisfaction,Product,Unknown,N/A,Low,Low,Other,0.8,Sales & Product
Non-SUJ identified issues,1,"While they understood my problem, the solution provided still kept looping back to the problem despite being escalated to a specialist team",1226,Customer Support Experience,Support Processes & Friction,System Failure,Complaint,Negative,Frustration,Process,Ineffective escalation loop where specialist teams failed to provide a resolution beyond the initial problem state,Resolution,High,High,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,"my problem is not solved. Me and my husband both in Poland and I have premium YouTube, but he hasn't.  Family YouTube premium is activated in my account",1228,Subscriptions & Memberships,Plan Management (Family/Student),Technical,Complaint,Negative,Confusion,Technical,Failure of the system to sync or recognize Premium benefits for a secondary family member despite active subscription,Fulfillment,Medium,Medium,Financial Impact,0.88,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),1,Worst ever customer support. Totally not helpful. Just sending email that mean nothing and are of no help.,1231,Cancellations & Refunds,Refunds & Adjustments,Miscommunication,Complaint,Negative,Frustration,People,Ineffective communication and use of generic canned responses that do not resolve the issue,Support Interaction,High,High,Trust Loss,0.9,Support & QA
Question about package/plan and how to purchase,2,"The person responds, but there is no solution to the problem.",1233,Subscriptions & Memberships,Plan Management (Individual),Miscommunication,Complaint,Negative,Disappointment,People,Agent responsiveness without providing a tangible resolution or solution,Support Interaction,Medium,Medium,Inconvenience,0.85,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),4,"If I get my money back, I'll give a very satisfied rating.",1235,Cancellations & Refunds,Refunds & Adjustments,Other,Query,Neutral,Other,Policy,Pending refund processing or eligibility,Resolution,Medium,Medium,Financial Impact,0.9,Support & QA
Promotions/EFT question or issue,4,"Josh was nice, but unfortunately the deals were not customer favorable",1237,Advertising & Promotions,Promotions & Trials,Other,Feedback,Neutral,Disappointment,Policy,Uncompetitive or unfavorable promotional deals,Product/Offer Design,Low,Low,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,the person was unable to resolve the issue for me.,1241,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,People,Agent inability to resolve the customer's specific issue,Resolution,Medium,High,Inconvenience,0.9,Support & QA
User sees Ads,1,I liquidated the account just for fun.,1242,Account Management & Security,Account Settings & Management,UX Issue,Feedback,Negative,Other,Policy,Dissatisfaction with service value or ad presence leading to account closure,Retention,Critical,Low,Financial Impact,0.85,Policy & Brand
I want to ask about family plan abuse,1,Not provided solution,1244,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Disappointment,Process,Failure to provide a solution for family plan related inquiries,Resolution,Medium,Medium,Inconvenience,0.9,Support & QA
I want to ask about family plan abuse,1,Agent didnt help at all and just wanted to disconnect,1246,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,People,Agent lack of engagement and premature attempt to close the interaction,Interaction,Medium,Medium,Trust Loss,0.9,Support & QA
Non-SUJ identified issues,1,"As a end user, We should not be REQUIRED to pay a subscription fee to watch content on a platform thats supposed to be FREE.. Just because I wanted to try the paid side of Youtube does not mean I should be forced to keep paying for it.   Me resubscribing to YouTube Premium allowed me to start watching content again.. This is honestly wrong on so many levels.",1247,Subscriptions & Memberships,Premium Benefits & Access,UX Issue,Complaint,Negative,Anger,Policy,Perceived paywalling of previously free content and forced subscription retention,Usage,High,Medium,Financial Impact,0.85,Sales & Product
Free trial question or issue,1,Lack of flexibility in the system and freedom to the tem to help us.,1249,Customer Support Experience,Support Processes & Friction,UX Issue,Feedback,Negative,Frustration,Technical,Rigid system constraints and limited agent autonomy to deviate from standard protocols,Resolution,Medium,Unknown,Inconvenience,0.88,Support & QA
I want to ask about family plan abuse,1,"He's just a bot, just fire him and get a new customer service with more experience. And what's with the bullshit requirement for the youtube premium plan, do you live with your grandparents everyday?",1252,Subscriptions & Memberships,Policy & Enforcement,Other,Complaint,Negative,Anger,Policy,Strict residency verification requirements for family plans and poor automated support,Policy Enforcement,High,High,Trust Loss,0.9,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),2,Please give me back my subscription,1255,Cancellations & Refunds,Refunds & Adjustments,Other,Complaint,Negative,Disappointment,Policy,Unwanted subscription charge or trial conversion,Post-purchase,Medium,Medium,Financial Impact,0.9,Support & QA
